# sfxindex format=2 rules=2 utoc_fingerprint=a9cd4a27439dc777 pak_index_hash=4ba2bb49b3e5820e3f1643ecd1b0fa42bcb71c19 events=1218 wems=5699 media_refs=6666
tab	group	event_path	wem_id	source_wav	flags	length_ms
Music	Battle	Music/music_global_play	58019519		unpaired	152006
Music	Battle	Music/music_global_play	223598901		unpaired	81031
Music	Battle	Music/music_global_play	242540804		unpaired	74422
Music	Battle	Music/music_global_play	445510658		unpaired	70635
Music	Battle	Music/music_global_play	574798637		unpaired	75807
Music	Battle	Music/music_global_play	575181665		unpaired	69485
Music	Battle	Music/music_global_play	648817832		unpaired	65776
Music	Battle	Music/music_global_play	685215527		unpaired	61727
Music	Dungeon	Music/music_global_play	690626202		unpaired	128130
Music	Dungeon	Music/music_global_play	746531123		unpaired	64757
Music	Dungeon	Music/music_global_play	94831685		unpaired	102191
Music	Dungeon	Music/music_global_play	1047548306		unpaired	68362
Music	Dungeon	Music/music_global_play	1050048083		unpaired	66899
Music	Explore	Music/music_global_play	1067010217		unpaired	148427
Music	Explore	Music/music_global_play	733932676		unpaired	259369
Music	Explore	Music/music_global_play	835347430		unpaired	281547
Music	Explore	Music/music_global_play	510851952		unpaired	185234
Music	Explore	Music/music_global_play	9241878		unpaired	210024
Music	Explore	Music/music_global_play	334627388		unpaired	244584
Music	Explore	Music/music_global_play	1062373016		unpaired	251088
Music	Public	Music/music_global_play	578530636		unpaired	171441
Music	Public	Music/music_global_play	550799537		unpaired	145502
Music	Public	Music/music_global_play	808577248		unpaired	176431
Music	Public	Music/music_global_play	851836039		unpaired	125152
Music	Public	Music/music_global_play	239303149		unpaired	130768
Music	Special	Music/music_global_play	352054417		unpaired	13505
Music	Special	Music/music_global_play	231494450		unpaired	17684
Music	Special	Music/music_global_play	496000234		shared,unpaired	110942
Menu & UI	General	Interface/Other/Redesign/ui_book_close	169902004	al_ui_book_page_close_01.wav		969
Menu & UI	General	Interface/Other/Redesign/ui_book_close	701528190	al_ui_book_page_close_02.wav		1000
Menu & UI	General	Interface/Other/Redesign/ui_book_close	872596807	al_ui_book_page_close_03.wav		1234
Menu & UI	General	Interface/Other/Redesign/ui_book_open	327774990	al_ui_book_open_02.wav		1241
Menu & UI	General	Interface/Other/Redesign/ui_book_open	709101942	al_ui_book_open_01.wav		1586
Menu & UI	General	Interface/Other/Redesign/ui_book_page_back	411587639	al_ui_book_page_back_02.wav		1201
Menu & UI	General	Interface/Other/Redesign/ui_book_page_back	627569000	al_ui_book_page_back_01.wav		1188
Menu & UI	General	Interface/Other/Redesign/ui_book_page_next	497806911	al_ui_book_page_next_02.wav		1440
Menu & UI	General	Interface/Other/Redesign/ui_book_page_next	519337903	al_ui_book_page_next_01.wav		1400
Menu & UI	General	Interface/Other/Redesign/ui_book_page_next	545174305	al_ui_book_page_next_04.wav		1501
Menu & UI	General	Interface/Other/Redesign/ui_book_page_next	1042962904	al_ui_book_page_next_03.wav		1544
Menu & UI	General	Interface/Global/ui_glb_armor_weapon_repair	509129736	al_ui_glb_armor_weapon_repair.wav		2339
Menu & UI	General	Interface/Global/ui_glb_armor_weapon_repair_break	827834759	al_ui_glb_armor_weapon_repair_break.wav		848
Menu & UI	General	Interface/Global/Redesign/ui_glb_buy	294886020	al_ui_glb_buy_01.wav	shared	686
Menu & UI	General	Interface/Global/Redesign/ui_glb_buy	389425466	al_ui_glb_buy_02.wav	shared	676
Menu & UI	General	Interface/Global/Redesign/ui_glb_choice	298153013	al_ui_glb_choice_03.wav	shared	61
Menu & UI	General	Interface/Global/Redesign/ui_glb_choice	395754153	al_ui_glb_choice_01.wav	shared	38
Menu & UI	General	Interface/Global/Redesign/ui_glb_choice	571658033	al_ui_glb_choice_02.wav	shared	62
Menu & UI	General	Interface/Global/Redesign/ui_glb_detail_hide	799770226	al_ui_glb_detail_show_02.wav		725
Menu & UI	General	Interface/Global/Redesign/ui_glb_detail_show	237015467	al_ui_glb_detail_show_01.wav		704
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_select	278986254	al_ui_glb_filter_select_01.wav		236
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_select	518383580	al_ui_glb_filter_select_02.wav		236
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_select	774890715	al_ui_glb_filter_select_03.wav		236
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_select_all	115939437	al_ui_glb_filter_select_all.wav		296
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_unselect	72552035	al_ui_glb_filter_unselect_02.wav		217
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_unselect	530107771	al_ui_glb_filter_unselect_04.wav		217
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_unselect	530485666	al_ui_glb_filter_unselect_05.wav		217
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_unselect	616131966	al_ui_glb_filter_unselect_01.wav		217
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_unselect	898513574	al_ui_glb_filter_unselect_03.wav		217
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_unselect_all	110031333	al_ui_glb_filter_clear_02.wav		314
Menu & UI	General	Interface/Global/Redesign/ui_glb_filter_unselect_all	580292672	al_ui_glb_filter_clear_01.wav		314
Menu & UI	General	Interface/Global/Redesign/ui_glb_hover	965784185	al_ui_glb_hover.wav		64
Menu & UI	General	Interface/Global/ui_glb_item_enchant	738566670	al_ui_glb_item_enchant.wav		3232
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_close	84017474	al_ui_glb_menu_close_03.wav		949
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_close	527133514	al_ui_glb_menu_close_02.wav		949
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_close	820684037	al_ui_glb_menu_close_01.wav		949
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_close	822746982	al_ui_glb_menu_close_04.wav		949
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	391907897	al_ui_item_generic_take_layer_02.wav		600
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	431840221	al_ui_glb_menu_open_01.wav		1351
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	455293928	al_ui_item_generic_take_01.wav		747
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	686753776	al_ui_glb_menu_open_04.wav		1351
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	743415232	al_ui_glb_menu_open_03.wav		1351
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	800000787	al_ui_glb_menu_open_02.wav		1351
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	859052668	al_ui_item_generic_take_02.wav		754
Menu & UI	General	Interface/Global/Redesign/ui_glb_menu_open	1060972400	al_ui_item_generic_take_layer_05.wav		600
Menu & UI	General	Interface/Global/ui_glb_message	296032897	al_ui_glb_message.wav		2718
Menu & UI	General	Interface/Global/ui_glb_message_fade	151229675	al_ui_glb_message_fade.wav		2676
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup	15889406	al_ui_glb_sort_02.wav	shared	239
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup	318728981	al_ui_glb_popup.wav	shared	1718
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup	815227923	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup_no	15889406	al_ui_glb_sort_02.wav	shared	239
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup_no	620099234	al_ui_glb_popup_no.wav	shared	238
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup_no	815227923	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup_yes	15889406	al_ui_glb_sort_02.wav	shared	239
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup_yes	815227923	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_popup_yes	886884558	al_ui_glb_popup_yes.wav	shared	172
Menu & UI	General	Interface/Global/ui_glb_potion_create	196973855	al_ui_glb_potion_create.wav		4030
Menu & UI	General	Interface/Global/ui_glb_quest_new	46976900	al_ui_glb_quest_new.wav		2998
Menu & UI	General	Interface/Global/ui_glb_quest_update	329659350	al_ui_glb_quest_update.wav		3009
Menu & UI	General	Interface/Global/Redesign/ui_glb_random	565451686	al_ui_glb_random.wav		358
Menu & UI	General	Interface/Global/Redesign/ui_glb_reset	436041034	al_ui_glb_reset.wav		358
Menu & UI	General	Interface/Global/Redesign/ui_glb_select	15889406	al_ui_glb_sort_02.wav	shared	239
Menu & UI	General	Interface/Global/Redesign/ui_glb_select	99846787	al_ui_glb_select_01.wav	shared	85
Menu & UI	General	Interface/Global/Redesign/ui_glb_select	513686257	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_select	534593082	al_ui_glb_select_03.wav	shared	92
Menu & UI	General	Interface/Global/Redesign/ui_glb_select	537832640	al_ui_glb_select_02.wav	shared	74
Menu & UI	General	Interface/Global/Redesign/ui_glb_select	815227923	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_select	949689278	al_ui_glb_select_05.wav	shared	94
Menu & UI	General	Interface/Global/Redesign/ui_glb_sell	64394685	al_ui_glb_sell_01.wav		751
Menu & UI	General	Interface/Global/Redesign/ui_glb_sell	600531388	al_ui_glb_sell_02.wav		860
Menu & UI	General	Interface/Global/Redesign/ui_glb_settings_vibration	15889406	al_ui_glb_sort_02.wav	shared	239
Menu & UI	General	Interface/Global/Redesign/ui_glb_settings_vibration	298153013	al_ui_glb_choice_03.wav	shared	61
Menu & UI	General	Interface/Global/Redesign/ui_glb_settings_vibration	395754153	al_ui_glb_choice_01.wav	shared	38
Menu & UI	General	Interface/Global/Redesign/ui_glb_settings_vibration	571658033	al_ui_glb_choice_02.wav	shared	62
Menu & UI	General	Interface/Global/Redesign/ui_glb_settings_vibration	815227923	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_slider	553642333	al_ui_glb_slider_01.wav		225
Menu & UI	General	Interface/Global/Redesign/ui_glb_slider	585759075	al_ui_glb_slider_02.wav		226
Menu & UI	General	Interface/Global/Redesign/ui_glb_sort	760905544	al_ui_glb_sort_02.wav		239
Menu & UI	General	Interface/Global/Redesign/ui_glb_sort	885256921	al_ui_glb_sort_01.wav		230
Menu & UI	General	Interface/Global/ui_glb_speech_rollover	4532118	al_ui_glb_speech_rollover.wav		1785
Menu & UI	General	Interface/Global/ui_glb_speech_rotate	894087880	al_ui_glb_speech_rotate.wav		1872
Menu & UI	General	Interface/Global/ui_glb_stats_skillup	746149734	al_ui_glb_stats_skillup.wav		3220
Menu & UI	General	Interface/Global/Redesign/ui_glb_subpage	287797051	al_ui_quickkeys_assign_6.wav		196
Menu & UI	General	Interface/Global/Redesign/ui_glb_subpage	446151881	al_ui_quickkeys_assign_6.wav		126
Menu & UI	General	Interface/Global/Redesign/ui_glb_subtab	79199751	al_ui_glb_menu_subtab_02.wav		402
Menu & UI	General	Interface/Global/Redesign/ui_glb_subtab	1061054182	al_ui_glb_menu_subtab_01.wav		500
Menu & UI	General	Interface/Global/Redesign/ui_glb_tab	36833043	al_ui_book_page_back_01.wav		705
Menu & UI	General	Interface/Global/Redesign/ui_glb_tab	133095377	al_ui_book_page_next_02.wav		700
Menu & UI	General	Interface/Global/Redesign/ui_glb_tab	933235137	al_ui_book_page_next_03.wav		603
Menu & UI	General	Interface/Global/Redesign/ui_glb_tab	1032141886	al_ui_book_page_next_04.wav		700
Menu & UI	General	Interface/Global/Redesign/ui_glb_toggle_close	15889406	al_ui_glb_sort_02.wav	shared	239
Menu & UI	General	Interface/Global/Redesign/ui_glb_toggle_close	428215402	al_ui_glb_toggle_close.wav	shared	290
Menu & UI	General	Interface/Global/Redesign/ui_glb_toggle_close	815227923	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_toggle_open	15889406	al_ui_glb_sort_02.wav	shared	239
Menu & UI	General	Interface/Global/Redesign/ui_glb_toggle_open	266216695	al_ui_glb_toggle_open.wav	shared	438
Menu & UI	General	Interface/Global/Redesign/ui_glb_toggle_open	428215402	al_ui_glb_toggle_close.wav	shared	290
Menu & UI	General	Interface/Global/Redesign/ui_glb_toggle_open	815227923	al_ui_glb_select_04.wav	shared	107
Menu & UI	General	Interface/Global/Redesign/ui_glb_value	15882916	al_ui_glb_value_04.wav		80
Menu & UI	General	Interface/Global/Redesign/ui_glb_value	575318854	al_ui_glb_value_03.wav		80
Menu & UI	General	Interface/Global/Redesign/ui_glb_value	786725596	al_ui_glb_value_02.wav		80
Menu & UI	General	Interface/Global/Redesign/ui_glb_value	810368983	al_ui_glb_value_05.wav		80
Menu & UI	General	Interface/Global/Redesign/ui_glb_value	898984407	al_ui_glb_value_01.wav		80
Menu & UI	General	Interface/Other/Redesign/ui_quest_added	784987488	al_ui_quest_added.wav		2509
Menu & UI	General	Interface/Other/Redesign/ui_quest_completed	194439960	al_ui_quest_completed.wav		2449
Menu & UI	General	Interface/Other/Redesign/ui_quest_updated	544371056	al_ui_quest_updated.wav		2422
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_assign	112053738	al_ui_quickkeys_assign_5.wav		269
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_assign	333190892	al_ui_quickkeys_assign_2.wav		548
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_assign	871945781	al_ui_quickkeys_assign_3.wav		275
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_close	204660323	al_ui_quickkeys_open_2.wav	shared	423
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_hover	265296762	al_ui_quickkeys_hover_1.wav		96
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_hover	586433809	al_ui_quickkeys_hover_4.wav		96
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_hover	737362305	al_ui_quickkeys_hover_5.wav		96
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_hover	912712335	al_ui_quickkeys_hover_3.wav		96
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_hover	980500780	al_ui_quickkeys_hover_2.wav		96
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_open	204660323	al_ui_quickkeys_open_2.wav	shared	423
Menu & UI	General	Interface/Other/Redesign/ui_quickkeys_unassign	715642173	al_ui_quickkeys_assign_5.wav		269
